10 24.870000 0.947523  5.103000 0.078285 
20 40.788000 1.158455  9.728000 0.160130 
50 65.515000 1.556937  22.752000 0.383943 
100 98.118000 2.153590  43.160000 0.774099 
200 128.188000 2.610035  80.030000 1.513883 
500 173.636000 3.541181  163.190000 3.440244 
1000 203.358000 4.400919  260.223000 6.232555 
5000 259.947000 6.374834  524.702000 18.325981 
10000 247.647000 5.794224  547.657000 20.931168 
