0.200000 0.018324 0.000043 0.860514  0.000000 200 20
0.250000 0.020679 0.000052 0.838180  0.000000 200 25
0.300000 0.023425 0.000061 0.829033  0.000000 200 30
0.350000 0.026372 0.000073 0.810727  0.000000 200 35
0.400000 0.029581 0.000085 0.783972  0.000000 200 40
0.450000 0.033216 0.000100 0.760100  0.000000 200 45
0.500000 0.037296 0.000117 0.724555  0.000000 200 50
0.550000 0.042127 0.000137 0.716210  0.000000 200 55
0.600000 0.047688 0.000160 0.707848  0.000000 200 60
0.650000 0.054220 0.000192 0.665757  0.000000 200 65
0.700000 0.061392 0.000225 0.647470  0.000000 200 70
0.750000 0.070957 0.000272 0.621275  0.000000 200 75
0.800000 0.081497 0.000317 0.617092  0.000000 200 80
0.850000 0.094281 0.000380 0.604561  0.000100 200 85
0.900000 0.109967 0.000452 0.604746  0.001100 200 90
0.950000 0.129535 0.000529 0.635163  0.005000 200 95
1.000000 0.153058 0.000620 0.659795  0.021100 200 100
1.050000 0.179112 0.000711 0.689600  0.065500 200 105
1.100000 0.210763 0.000798 0.735778  0.151900 200 110
1.150000 0.247530 0.000874 0.781987  0.287900 200 115
1.200000 0.289795 0.000934 0.826540  0.472800 200 120
1.250000 0.339475 0.000966 0.870461  0.656400 200 125
1.300000 0.388942 0.000950 0.906079  0.803400 200 130
1.350000 0.438057 0.000890 0.934955  0.905600 200 135
1.400000 0.486355 0.000820 0.955057  0.958500 200 140
1.450000 0.531532 0.000715 0.970589  0.985000 200 145
1.500000 0.571809 0.000618 0.980103  0.997100 200 150
1.550000 0.607235 0.000526 0.986729  0.999500 200 155
1.600000 0.639533 0.000455 0.990667  1.000000 200 160
1.650000 0.667308 0.000411 0.992815  1.000000 200 165
1.700000 0.692420 0.000377 0.994313  1.000000 200 170
1.750000 0.714440 0.000351 0.995293  1.000000 200 175
1.800000 0.734613 0.000336 0.995914  1.000000 200 180
1.850000 0.753580 0.000317 0.996527  1.000000 200 185
1.900000 0.770571 0.000304 0.996940  1.000000 200 190
1.950000 0.785507 0.000291 0.997284  1.000000 200 195
