0.200000 0.004884 0.000010 0.894938  0.000000 1000 100
0.250000 0.005651 0.000013 0.881353  0.000000 1000 125
0.300000 0.006514 0.000016 0.853632  0.000000 1000 150
0.350000 0.007443 0.000018 0.846902  0.000000 1000 175
0.400000 0.008590 0.000023 0.816429  0.000000 1000 200
0.450000 0.009901 0.000028 0.786218  0.000000 1000 225
0.500000 0.011409 0.000033 0.770876  0.000000 1000 250
0.550000 0.013252 0.000040 0.751080  0.000000 1000 275
0.600000 0.015461 0.000050 0.712380  0.000000 1000 300
0.650000 0.018259 0.000062 0.674792  0.000000 1000 325
0.700000 0.021774 0.000080 0.617852  0.000000 1000 350
0.750000 0.026238 0.000102 0.555450  0.000000 1000 375
0.800000 0.031881 0.000130 0.515816  0.000000 1000 400
0.850000 0.040233 0.000173 0.503300  0.000000 1000 425
0.900000 0.051402 0.000233 0.467959  0.000000 1000 450
0.950000 0.066540 0.000308 0.495314  0.000000 1000 475
1.000000 0.089448 0.000416 0.536720  0.000000 1000 500
1.050000 0.121448 0.000540 0.619519  0.000700 1000 525
1.100000 0.165898 0.000660 0.728182  0.019600 1000 550
1.150000 0.222793 0.000728 0.832419  0.153600 1000 575
1.200000 0.288001 0.000704 0.908495  0.501300 1000 600
1.250000 0.353474 0.000598 0.954821  0.839800 1000 625
1.300000 0.410972 0.000483 0.976703  0.970200 1000 650
1.350000 0.463243 0.000360 0.988882  0.998000 1000 675
1.400000 0.507563 0.000293 0.993608  0.999900 1000 700
1.450000 0.546165 0.000255 0.995772  1.000000 1000 725
1.500000 0.581133 0.000223 0.997107  1.000000 1000 750
1.550000 0.613369 0.000202 0.997853  1.000000 1000 775
1.600000 0.641685 0.000186 0.998331  1.000000 1000 800
1.650000 0.667614 0.000171 0.998695  1.000000 1000 825
1.700000 0.691495 0.000162 0.998903  1.000000 1000 850
1.750000 0.713033 0.000155 0.999057  1.000000 1000 875
1.800000 0.732958 0.000148 0.999191  1.000000 1000 900
1.850000 0.751314 0.000141 0.999300  1.000000 1000 925
1.900000 0.767813 0.000135 0.999380  1.000000 1000 950
1.950000 0.783345 0.000132 0.999433  1.000000 1000 975
