0.200000 0.008656 0.000019 0.884833  0.000000 500 50
0.250000 0.010021 0.000024 0.861002  0.000000 500 63
0.300000 0.011411 0.000028 0.851440  0.000000 500 75
0.350000 0.013025 0.000035 0.818287  0.000000 500 88
0.400000 0.014709 0.000040 0.811563  0.000000 500 100
0.450000 0.016741 0.000048 0.778446  0.000000 500 112
0.500000 0.019251 0.000059 0.753213  0.000000 500 125
0.550000 0.022025 0.000070 0.717852  0.000000 500 137
0.600000 0.025627 0.000085 0.700635  0.000000 500 150
0.650000 0.029755 0.000106 0.634089  0.000000 500 163
0.700000 0.034497 0.000126 0.641510  0.000000 500 175
0.750000 0.041116 0.000162 0.564804  0.000000 500 188
0.800000 0.048755 0.000198 0.555872  0.000000 500 200
0.850000 0.059105 0.000251 0.534399  0.000000 500 213
0.900000 0.072487 0.000322 0.508665  0.000000 500 225
0.950000 0.089589 0.000398 0.539043  0.000000 500 238
1.000000 0.112169 0.000494 0.587657  0.000600 500 250
1.050000 0.142038 0.000611 0.640473  0.009400 500 263
1.100000 0.179232 0.000713 0.717377  0.057900 500 275
1.150000 0.229520 0.000797 0.800849  0.216300 500 288
1.200000 0.282896 0.000832 0.864234  0.467500 500 300
1.250000 0.343920 0.000803 0.916176  0.739900 500 313
1.300000 0.400062 0.000712 0.950434  0.902200 500 325
1.350000 0.455939 0.000598 0.972219  0.972800 500 338
1.400000 0.501187 0.000487 0.983772  0.993900 500 350
1.450000 0.544947 0.000383 0.990871  0.999400 500 363
1.500000 0.579777 0.000328 0.993911  0.999900 500 375
1.550000 0.613808 0.000285 0.995787  1.000000 500 388
1.600000 0.641321 0.000265 0.996654  1.000000 500 400
1.650000 0.668628 0.000247 0.997317  1.000000 500 413
1.700000 0.691540 0.000230 0.997807  1.000000 500 425
1.750000 0.714032 0.000220 0.998127  1.000000 500 438
1.800000 0.733547 0.000208 0.998409  1.000000 500 450
1.850000 0.752316 0.000201 0.998585  1.000000 500 463
1.900000 0.768580 0.000191 0.998775  1.000000 500 475
1.950000 0.784536 0.000186 0.998886  1.000000 500 488
